,Entity,Code,Year,Phosphorous (kgP / t edible weight)
1,Carp (farmed),,2021,20.26049016
2,Catfish (farmed),,2021,20.81667642
4,Milkfish (farmed),,2021,23.92139217
5,Other freshwater fish (farmed),,2021,37.50265945
6,Other marine fish (farmed),,2021,50.17616112
7,Salmon (farmed),,2021,26.61969116
9,Shrimp (farmed),,2021,23.98413645
10,Silver/bighead (farmed),,2021,6.56289552
11,Tilapia (farmed),,2021,24.41310789
12,Trout (farmed),,2021,23.21956704
