,Entity,Code,Year,Land use (m2 / kg edible weight)
1,Carp (farmed),,2021,11.41382258
2,Catfish (farmed),,2021,10.44965342
4,Milkfish (farmed),,2021,18.53203141
5,Other freshwater fish (farmed),,2021,9.783293339
6,Other marine fish (farmed),,2021,10.82317774
7,Salmon (farmed),,2021,4.862073968
9,Shrimp (farmed),,2021,13.17613793
10,Silver/bighead (farmed),,2021,8.254630327
11,Tilapia (farmed),,2021,15.27297706
12,Trout (farmed),,2021,3.81244393
