,Entity,Code,Year,Freshwater use (m3 / kg edible weight)
1,Carp (farmed),,2021,3.522775104
2,Catfish (farmed),,2021,2.0944458
4,Milkfish (farmed),,2021,0.28291342
5,Other freshwater fish (farmed),,2021,0.362880363
6,Other marine fish (farmed),,2021,0.40139472
7,Salmon (farmed),,2021,0.155711472
9,Shrimp (farmed),,2021,0.219165334
10,Silver/bighead (farmed),,2021,9.277279692
11,Tilapia (farmed),,2021,1.230467594
12,Trout (farmed),,2021,0.112580508
